caseid,abcnum,stcode,Q21,Q21NET,Q24,Q901,Q908A,Q921
1,36,39,2,1.00,2,2,2,2
4,36,39,1,1.00,1,3,2,2
6,39,42,8,8.00,1,1,3,1
7,41,45,3,2.00,1,3,2,1
9,10,12,2,1.00,1,1,1,1
11,10,12,4,2.00,2,2,2,2
15,36,39,3,2.00,2,2,2,1
16,36,39,2,1.00,1,1,1,1
18,10,12,1,1.00,1,3,2,2
19,41,45,3,2.00,2,3,3,1
20,39,42,2,1.00,1,1,2,2
21,36,39,2,1.00,2,4,8,2
24,39,42,2,1.00,2,2,2,2
27,39,42,1,1.00,2,2,3,2
28,39,42,3,2.00,1,1,2,1
32,36,39,1,1.00,2,2,3,1
37,39,42,4,2.00,2,2,2,1
41,43,47,1,1.00,1,1,2,2
43,36,39,2,1.00,8,3,2,2
46,31,34,2,1.00,4,3,2,1
51,39,42,4,2.00,2,2,2,2
56,36,39,2,1.00,3,3,2,2
58,39,42,2,1.00,2,2,3,1
60,31,34,2,1.00,1,1,1,1
61,41,45,3,2.00,1,1,2,2
62,36,39,2,1.00,1,1,1,2
63,41,45,1,1.00,4,3,3,1
65,31,34,4,2.00,1,1,3,2
66,10,12,1,1.00,1,1,1,2
68,10,12,3,2.00,2,2,2,1
69,39,42,4,2.00,4,2,2,2
74,10,12,3,2.00,2,2,2,1
75,39,42,2,1.00,1,1,2,1
77,39,42,1,1.00,1,1,1,1
80,43,47,2,1.00,2,3,2,1
81,36,39,2,1.00,2,3,2,1
85,41,45,2,1.00,1,1,2,1
86,31,34,3,2.00,2,2,3,2
91,41,45,1,1.00,2,2,3,1
97,10,12,3,2.00,4,3,3,1
99,10,12,2,1.00,1,1,2,2
105,31,34,2,1.00,4,3,8,1
106,31,34,3,2.00,2,2,3,2
107,43,47,2,1.00,2,3,1,1
109,39,42,2,1.00,2,2,2,1
110,39,42,4,2.00,1,1,1,1
111,36,39,3,2.00,2,2,3,1
115,36,39,2,1.00,2,2,3,1
122,21,24,8,8.00,8,1,1,2
130,39,42,4,2.00,2,2,2,1
131,31,34,2,1.00,1,1,2,2
135,36,39,2,1.00,1,1,3,1
137,41,45,3,2.00,4,3,2,1
138,10,12,2,1.00,4,3,2,1
140,39,42,2,1.00,4,2,2,1
142,21,24,1,1.00,1,1,1,1
144,39,42,3,2.00,1,1,1,1
146,36,39,4,2.00,2,2,3,1
148,36,39,2,1.00,2,2,2,1
150,31,34,2,1.00,1,1,1,1
151,10,12,8,8.00,2,3,1,1
152,31,34,3,2.00,2,2,3,1
153,21,24,2,1.00,2,3,2,1
154,31,34,2,1.00,1,1,2,2
156,39,42,1,1.00,4,3,2,1
159,14,17,2,1.00,1,3,1,2
161,44,48,4,2.00,1,1,1,2
163,4,05,2,1.00,1,3,3,2
164,35,38,4,2.00,2,2,3,1
167,43,47,1,1.00,2,2,3,2
168,36,39,1,1.00,1,2,1,2
171,31,34,2,1.00,2,2,3,1
172,39,42,4,2.00,2,4,3,2
173,36,39,1,1.00,4,3,2,2
176,10,12,8,8.00,1,3,2,2
177,10,12,3,2.00,1,1,1,1
180,31,34,1,1.00,1,1,2,2
181,21,24,3,2.00,2,3,3,2
182,43,47,2,1.00,2,3,2,1
183,21,24,3,2.00,4,3,2,1
184,36,39,1,1.00,1,3,2,2
186,36,39,1,1.00,2,3,2,1
187,36,39,4,2.00,1,1,1,2
188,36,39,-1,-1.00,8,3,2,1
191,21,24,2,1.00,1,1,2,1
192,10,12,3,2.00,2,2,3,1
197,43,47,2,1.00,1,1,2,2
199,39,42,1,1.00,1,1,3,2
201,10,12,1,1.00,3,1,3,1
202,21,24,1,1.00,2,2,2,1
205,21,24,2,1.00,1,1,1,2
207,36,39,2,1.00,1,1,3,2
209,36,39,2,1.00,1,3,1,1
210,31,34,2,1.00,1,1,2,1
211,10,12,4,2.00,1,1,3,2
212,39,42,2,1.00,1,3,2,1
213,36,39,8,8.00,4,4,4,2
216,10,12,4,2.00,2,2,3,1
219,41,45,4,2.00,2,3,3,1
220,36,39,4,2.00,4,3,3,2
221,39,42,3,2.00,1,3,1,1
224,36,39,2,1.00,1,1,2,1
225,10,12,4,2.00,2,2,2,2
227,10,12,2,1.00,1,1,2,1
228,36,39,3,2.00,2,3,3,2
229,39,42,2,1.00,2,2,1,1
230,21,24,2,1.00,1,3,1,2
232,21,24,1,1.00,1,1,2,2
233,10,12,4,2.00,1,1,3,1
234,39,42,4,2.00,1,3,2,1
239,21,24,3,2.00,2,3,2,1
240,39,42,3,2.00,2,3,2,1
242,10,12,2,1.00,1,1,1,1
245,31,34,3,2.00,2,3,3,1
249,31,34,3,2.00,2,3,2,1
251,10,12,2,1.00,1,2,2,1
255,41,45,2,1.00,2,2,2,1
257,36,39,2,1.00,2,2,3,2
258,43,47,1,1.00,1,3,2,2
260,44,48,4,2.00,1,1,1,2
262,25,28,3,2.00,2,3,2,1
263,44,48,3,2.00,1,3,1,2
264,50,55,3,2.00,1,1,2,1
265,44,48,2,1.00,2,3,1,1
270,35,38,2,1.00,1,1,1,2
271,44,48,4,2.00,1,1,3,1
272,50,55,1,1.00,1,1,1,2
274,14,17,4,2.00,1,1,1,2
276,44,48,1,1.00,1,1,2,1
277,44,48,3,2.00,2,1,2,2
279,19,22,2,1.00,1,1,3,2
280,50,55,1,1.00,1,3,2,2
281,44,48,2,1.00,2,2,3,1
284,19,22,2,1.00,1,1,2,2
285,50,55,1,1.00,1,1,3,1
286,14,17,4,2.00,2,1,3,2
288,25,28,3,2.00,2,3,3,1
289,50,55,4,2.00,2,2,3,1
290,14,17,2,1.00,2,3,2,2
291,50,55,1,1.00,1,2,2,2
292,19,22,4,2.00,2,3,3,1
296,50,55,1,1.00,1,1,2,2
298,14,17,1,1.00,1,3,2,2
299,44,48,2,1.00,2,3,3,1
300,50,55,1,1.00,1,3,2,1
302,39,42,2,1.00,1,1,1,1
303,36,39,2,1.00,2,2,2,1
306,36,39,4,2.00,2,2,3,2
307,36,39,3,2.00,2,2,3,1
315,36,39,1,1.00,1,1,2,1
316,31,34,8,8.00,4,3,2,1
317,36,39,2,1.00,1,3,2,1
318,36,39,1,1.00,1,1,1,1
321,43,47,2,1.00,2,2,3,2
323,36,39,3,2.00,1,3,2,1
324,39,42,2,1.00,1,3,2,2
325,36,39,2,1.00,1,1,1,2
327,41,45,3,2.00,2,3,3,1
331,36,39,4,2.00,2,2,3,1
333,39,42,4,2.00,2,2,3,2
334,39,42,4,2.00,2,1,3,1
